"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2018-03-01","23:00 - 0:00","282","°A"
"DV","2018-03-02","23:00 - 0:00","196","°A"
"DV","2018-03-02","0:00 - 1:00","135","°A"
"DV","2018-03-02","1:00 - 2:00","101","°A"
"DV","2018-03-02","2:00 - 3:00","211","°A"
"DV","2018-03-02","3:00 - 4:00","257","°A"
"DV","2018-03-02","4:00 - 5:00","219","°A"
"DV","2018-03-02","5:00 - 6:00","217","°A"
"DV","2018-03-02","6:00 - 7:00","213","°A"
"DV","2018-03-02","7:00 - 8:00","119","°A"
"DV","2018-03-02","8:00 - 9:00","93","°A"
"DV","2018-03-02","9:00 - 10:00","162","°A"
"DV","2018-03-02","10:00 - 11:00","188","°A"
"DV","2018-03-02","11:00 - 12:00","188","°A"
"DV","2018-03-02","12:00 - 13:00","150","°A"
"DV","2018-03-02","13:00 - 14:00","162","°A"
"DV","2018-03-02","14:00 - 15:00","188","°A"
"DV","2018-03-02","15:00 - 16:00","214","°A"
"DV","2018-03-02","16:00 - 17:00","207","°A"
"DV","2018-03-02","17:00 - 18:00","231","°A"
"DV","2018-03-02","18:00 - 19:00","241","°A"
"DV","2018-03-02","19:00 - 20:00","142","°A"
"DV","2018-03-02","20:00 - 21:00","229","°A"
"DV","2018-03-02","21:00 - 22:00","84","°A"
"DV","2018-03-02","22:00 - 23:00","105","°A"
"DV","2018-03-03","23:00 - 0:00","105","°A"
"DV","2018-03-03","0:00 - 1:00","76","°A"
"DV","2018-03-03","1:00 - 2:00","55","°A"
"DV","2018-03-03","2:00 - 3:00","147","°A"
"DV","2018-03-03","3:00 - 4:00","178","°A"
"DV","2018-03-03","4:00 - 5:00","261","°A"
"DV","2018-03-03","5:00 - 6:00","247","°A"
"DV","2018-03-03","6:00 - 7:00","104","°A"
"DV","2018-03-03","7:00 - 8:00","54","°A"
"DV","2018-03-03","8:00 - 9:00","199","°A"
"DV","2018-03-03","9:00 - 10:00","220","°A"
"DV","2018-03-03","10:00 - 11:00","259","°A"
"DV","2018-03-03","11:00 - 12:00","203","°A"
"DV","2018-03-03","12:00 - 13:00","192","°A"
"DV","2018-03-03","13:00 - 14:00","192","°A"
"DV","2018-03-03","14:00 - 15:00","182","°A"
"DV","2018-03-03","15:00 - 16:00","206","°A"
"DV","2018-03-03","16:00 - 17:00","206","°A"
"DV","2018-03-03","17:00 - 18:00","256","°A"
"DV","2018-03-03","18:00 - 19:00","237","°A"
"DV","2018-03-03","19:00 - 20:00","222","°A"
"DV","2018-03-03","20:00 - 21:00","172","°A"
"DV","2018-03-03","21:00 - 22:00","90","°A"
"DV","2018-03-03","22:00 - 23:00","202","°A"
"DV","2018-03-04","23:00 - 0:00","150","°A"
"DV","2018-03-04","0:00 - 1:00","237","°A"
"DV","2018-03-04","1:00 - 2:00","122","°A"
"DV","2018-03-04","2:00 - 3:00","78","°A"
"DV","2018-03-04","3:00 - 4:00","178","°A"
"DV","2018-03-04","4:00 - 5:00","152","°A"
"DV","2018-03-04","5:00 - 6:00","88","°A"
"DV","2018-03-04","6:00 - 7:00","164","°A"
"DV","2018-03-04","7:00 - 8:00","79","°A"
"DV","2018-03-04","8:00 - 9:00","80","°A"
"DV","2018-03-04","9:00 - 10:00","62","°A"
"DV","2018-03-04","10:00 - 11:00","112","°A"
"DV","2018-03-04","11:00 - 12:00","126","°A"
"DV","2018-03-04","12:00 - 13:00","201","°A"
"DV","2018-03-04","13:00 - 14:00","249","°A"
"DV","2018-03-04","14:00 - 15:00","156","°A"
"DV","2018-03-04","15:00 - 16:00","203","°A"
"DV","2018-03-04","16:00 - 17:00","193","°A"
"DV","2018-03-04","17:00 - 18:00","236","°A"
"DV","2018-03-04","18:00 - 19:00","265","°A"
"DV","2018-03-04","19:00 - 20:00","271","°A"
"DV","2018-03-04","20:00 - 21:00","267","°A"
"DV","2018-03-04","21:00 - 22:00","279","°A"
"DV","2018-03-04","22:00 - 23:00","289","°A"
"DV","2018-03-05","23:00 - 0:00","274","°A"
"DV","2018-03-05","0:00 - 1:00","258","°A"
"DV","2018-03-05","1:00 - 2:00","204","°A"
"DV","2018-03-05","2:00 - 3:00","179","°A"
"DV","2018-03-05","3:00 - 4:00","286","°A"
"DV","2018-03-05","4:00 - 5:00","189","°A"
"DV","2018-03-05","5:00 - 6:00","148","°A"
"DV","2018-03-05","6:00 - 7:00","266","°A"
"DV","2018-03-05","7:00 - 8:00","272","°A"
"DV","2018-03-05","8:00 - 9:00","284","°A"
"DV","2018-03-05","9:00 - 10:00","263","°A"
"DV","2018-03-05","10:00 - 11:00","188","°A"
"DV","2018-03-05","11:00 - 12:00","256","°A"
"DV","2018-03-05","12:00 - 13:00","199","°A"
"DV","2018-03-05","13:00 - 14:00","228","°A"
"DV","2018-03-05","14:00 - 15:00","166","°A"
"DV","2018-03-05","15:00 - 16:00","196","°A"
"DV","2018-03-05","16:00 - 17:00","236","°A"
"DV","2018-03-05","17:00 - 18:00","224","°A"
"DV","2018-03-05","18:00 - 19:00","292","°A"
"DV","2018-03-05","19:00 - 20:00","285","°A"
"DV","2018-03-05","20:00 - 21:00","272","°A"
"DV","2018-03-05","21:00 - 22:00","288","°A"
"DV","2018-03-05","22:00 - 23:00","229","°A"
"DV","2018-03-06","23:00 - 0:00","279","°A"
"DV","2018-03-06","0:00 - 1:00","282","°A"
"DV","2018-03-06","1:00 - 2:00","279","°A"
"DV","2018-03-06","2:00 - 3:00","222","°A"
"DV","2018-03-06","3:00 - 4:00","293","°A"
"DV","2018-03-06","4:00 - 5:00","151","°A"
"DV","2018-03-06","5:00 - 6:00","99","°A"
"DV","2018-03-06","6:00 - 7:00","112","°A"
"DV","2018-03-06","7:00 - 8:00","166","°A"
"DV","2018-03-06","8:00 - 9:00","230","°A"
"DV","2018-03-06","9:00 - 10:00","296","°A"
"DV","2018-03-06","10:00 - 11:00","241","°A"
"DV","2018-03-06","11:00 - 12:00","175","°A"
"DV","2018-03-06","12:00 - 13:00","182","°A"
"DV","2018-03-06","13:00 - 14:00","185","°A"
"DV","2018-03-06","14:00 - 15:00","214","°A"
"DV","2018-03-06","15:00 - 16:00","216","°A"
"DV","2018-03-06","16:00 - 17:00","204","°A"
"DV","2018-03-06","17:00 - 18:00","246","°A"
"DV","2018-03-06","18:00 - 19:00","218","°A"
"DV","2018-03-06","19:00 - 20:00","259","°A"
