"Parámetro","Fecha","Hora","Valor","Unidad"
"DV","2019-07-01","23:00 - 0:00","178","°A"
"DV","2019-07-01","0:00 - 1:00","160","°A"
"DV","2019-07-01","16:00 - 17:00","99","°A"
"DV","2019-07-01","17:00 - 18:00","107","°A"
"DV","2019-07-01","18:00 - 19:00","231","°A"
"DV","2019-07-01","19:00 - 20:00","276","°A"
"DV","2019-07-01","20:00 - 21:00","234","°A"
"DV","2019-07-01","21:00 - 22:00","68","°A"
"DV","2019-07-01","22:00 - 23:00","99","°A"
"DV","2019-07-02","23:00 - 0:00","127","°A"
"DV","2019-07-02","0:00 - 1:00","130","°A"
"DV","2019-07-02","1:00 - 2:00","145","°A"
"DV","2019-07-02","2:00 - 3:00","155","°A"
"DV","2019-07-02","3:00 - 4:00","146","°A"
"DV","2019-07-02","4:00 - 5:00","192","°A"
"DV","2019-07-02","5:00 - 6:00","173","°A"
"DV","2019-07-02","6:00 - 7:00","162","°A"
"DV","2019-07-02","7:00 - 8:00","162","°A"
"DV","2019-07-02","8:00 - 9:00","177","°A"
"DV","2019-07-02","9:00 - 10:00","240","°A"
"DV","2019-07-02","10:00 - 11:00","266","°A"
"DV","2019-07-02","11:00 - 12:00","292","°A"
"DV","2019-07-02","12:00 - 13:00","285","°A"
"DV","2019-07-02","13:00 - 14:00","262","°A"
"DV","2019-07-02","14:00 - 15:00","303","°A"
"DV","2019-07-02","15:00 - 16:00","294","°A"
"DV","2019-07-02","16:00 - 17:00","256","°A"
"DV","2019-07-02","17:00 - 18:00","101","°A"
"DV","2019-07-02","18:00 - 19:00","67","°A"
"DV","2019-07-02","19:00 - 20:00","240","°A"
"DV","2019-07-02","20:00 - 21:00","130","°A"
"DV","2019-07-02","21:00 - 22:00","151","°A"
"DV","2019-07-02","22:00 - 23:00","125","°A"
"DV","2019-07-03","23:00 - 0:00","180","°A"
"DV","2019-07-03","0:00 - 1:00","255","°A"
"DV","2019-07-03","1:00 - 2:00","199","°A"
"DV","2019-07-03","2:00 - 3:00","209","°A"
"DV","2019-07-03","3:00 - 4:00","180","°A"
"DV","2019-07-03","4:00 - 5:00","181","°A"
"DV","2019-07-03","5:00 - 6:00","151","°A"
"DV","2019-07-03","6:00 - 7:00","199","°A"
"DV","2019-07-03","7:00 - 8:00","177","°A"
"DV","2019-07-03","8:00 - 9:00","120","°A"
"DV","2019-07-03","9:00 - 10:00","118","°A"
"DV","2019-07-03","10:00 - 11:00","75","°A"
