"Parámetro","Fecha","Hora","Valor","Unidad"
"TMP","2018-08-01","23:00 - 0:00","23.465","°C"
"TMP","2018-08-02","23:00 - 0:00","20.312","°C"
"TMP","2018-08-02","0:00 - 1:00","19.962","°C"
"TMP","2018-08-02","1:00 - 2:00","19.767","°C"
"TMP","2018-08-02","2:00 - 3:00","19.361","°C"
"TMP","2018-08-02","3:00 - 4:00","19.160","°C"
"TMP","2018-08-02","4:00 - 5:00","19.211","°C"
"TMP","2018-08-02","5:00 - 6:00","19.000","°C"
"TMP","2018-08-02","6:00 - 7:00","18.832","°C"
"TMP","2018-08-02","7:00 - 8:00","18.582","°C"
"TMP","2018-08-02","8:00 - 9:00","19.247","°C"
"TMP","2018-08-02","9:00 - 10:00","20.085","°C"
"TMP","2018-08-02","10:00 - 11:00","21.913","°C"
"TMP","2018-08-02","11:00 - 12:00","22.335","°C"
"TMP","2018-08-02","12:00 - 13:00","24.118","°C"
"TMP","2018-08-02","13:00 - 14:00","24.767","°C"
"TMP","2018-08-02","14:00 - 15:00","25.470","°C"
"TMP","2018-08-02","15:00 - 16:00","26.666","°C"
"TMP","2018-08-02","16:00 - 17:00","27.216","°C"
"TMP","2018-08-02","17:00 - 18:00","27.834","°C"
"TMP","2018-08-02","18:00 - 19:00","27.596","°C"
"TMP","2018-08-02","19:00 - 20:00","27.133","°C"
"TMP","2018-08-02","20:00 - 21:00","26.111","°C"
"TMP","2018-08-02","21:00 - 22:00","24.671","°C"
"TMP","2018-08-02","22:00 - 23:00","23.047","°C"
"TMP","2018-08-03","23:00 - 0:00","22.183","°C"
"TMP","2018-08-03","0:00 - 1:00","21.547","°C"
"TMP","2018-08-03","1:00 - 2:00","20.841","°C"
"TMP","2018-08-03","2:00 - 3:00","20.112","°C"
"TMP","2018-08-03","3:00 - 4:00","18.692","°C"
"TMP","2018-08-03","4:00 - 5:00","17.642","°C"
"TMP","2018-08-03","5:00 - 6:00","17.240","°C"
"TMP","2018-08-03","6:00 - 7:00","16.674","°C"
"TMP","2018-08-03","7:00 - 8:00","16.187","°C"
"TMP","2018-08-03","8:00 - 9:00","16.687","°C"
"TMP","2018-08-03","9:00 - 10:00","19.641","°C"
"TMP","2018-08-03","10:00 - 11:00","21.742","°C"
"TMP","2018-08-03","11:00 - 12:00","22.834","°C"
"TMP","2018-08-03","12:00 - 13:00","23.914","°C"
"TMP","2018-08-03","13:00 - 14:00","25.556","°C"
"TMP","2018-08-03","14:00 - 15:00","26.944","°C"
"TMP","2018-08-03","15:00 - 16:00","28.023","°C"
"TMP","2018-08-03","16:00 - 17:00","29.186","°C"
"TMP","2018-08-03","17:00 - 18:00","29.386","°C"
"TMP","2018-08-03","18:00 - 19:00","29.414","°C"
"TMP","2018-08-03","19:00 - 20:00","28.965","°C"
"TMP","2018-08-03","20:00 - 21:00","27.671","°C"
"TMP","2018-08-03","21:00 - 22:00","25.455","°C"
"TMP","2018-08-03","22:00 - 23:00","23.939","°C"
"TMP","2018-08-04","23:00 - 0:00","22.621","°C"
"TMP","2018-08-04","0:00 - 1:00","21.536","°C"
"TMP","2018-08-04","1:00 - 2:00","20.653","°C"
"TMP","2018-08-04","2:00 - 3:00","20.019","°C"
"TMP","2018-08-04","3:00 - 4:00","19.451","°C"
"TMP","2018-08-04","4:00 - 5:00","18.966","°C"
"TMP","2018-08-04","5:00 - 6:00","18.082","°C"
"TMP","2018-08-04","6:00 - 7:00","17.025","°C"
"TMP","2018-08-04","7:00 - 8:00","16.354","°C"
"TMP","2018-08-04","8:00 - 9:00","17.146","°C"
"TMP","2018-08-04","9:00 - 10:00","18.942","°C"
"TMP","2018-08-04","10:00 - 11:00","20.821","°C"
"TMP","2018-08-04","11:00 - 12:00","22.992","°C"
"TMP","2018-08-04","12:00 - 13:00","24.407","°C"
"TMP","2018-08-04","13:00 - 14:00","25.794","°C"
"TMP","2018-08-04","14:00 - 15:00","27.171","°C"
"TMP","2018-08-04","15:00 - 16:00","28.517","°C"
"TMP","2018-08-04","16:00 - 17:00","29.026","°C"
"TMP","2018-08-04","17:00 - 18:00","29.385","°C"
"TMP","2018-08-04","18:00 - 19:00","29.050","°C"
"TMP","2018-08-04","19:00 - 20:00","28.067","°C"
"TMP","2018-08-04","20:00 - 21:00","25.896","°C"
"TMP","2018-08-04","21:00 - 22:00","23.896","°C"
"TMP","2018-08-04","22:00 - 23:00","22.370","°C"
