"Parámetro","Fecha","Hora","Valor","Unidad"
"VV","2018-01-01","23:00 - 0:00","1.433","m/s"
"VV","2018-01-01","0:00 - 1:00","1.638","m/s"
"VV","2018-01-01","1:00 - 2:00","2.357","m/s"
"VV","2018-01-01","2:00 - 3:00","2.399","m/s"
"VV","2018-01-01","3:00 - 4:00","2.003","m/s"
"VV","2018-01-01","4:00 - 5:00","2.308","m/s"
"VV","2018-01-01","5:00 - 6:00","2.643","m/s"
"VV","2018-01-01","6:00 - 7:00","0.865","m/s"
"VV","2018-01-01","7:00 - 8:00","2.457","m/s"
"VV","2018-01-01","8:00 - 9:00","1.372","m/s"
"VV","2018-01-01","9:00 - 10:00","2.014","m/s"
"VV","2018-01-01","10:00 - 11:00","1.187","m/s"
"VV","2018-01-01","11:00 - 12:00","1.090","m/s"
"VV","2018-01-01","12:00 - 13:00","1.129","m/s"
"VV","2018-01-01","13:00 - 14:00","1.459","m/s"
"VV","2018-01-01","14:00 - 15:00","0.973","m/s"
"VV","2018-01-01","15:00 - 16:00","1.068","m/s"
"VV","2018-01-01","16:00 - 17:00","1.593","m/s"
"VV","2018-01-01","17:00 - 18:00","1.200","m/s"
"VV","2018-01-01","18:00 - 19:00","1.218","m/s"
"VV","2018-01-01","19:00 - 20:00","0.773","m/s"
"VV","2018-01-01","20:00 - 21:00","0.351","m/s"
"VV","2018-01-01","21:00 - 22:00","1.836","m/s"
"VV","2018-01-01","22:00 - 23:00","2.130","m/s"
"VV","2018-01-02","23:00 - 0:00","1.615","m/s"
"VV","2018-01-02","0:00 - 1:00","2.476","m/s"
"VV","2018-01-02","1:00 - 2:00","1.798","m/s"
"VV","2018-01-02","2:00 - 3:00","1.839","m/s"
"VV","2018-01-02","3:00 - 4:00","1.581","m/s"
"VV","2018-01-02","4:00 - 5:00","1.581","m/s"
"VV","2018-01-02","5:00 - 6:00","1.786","m/s"
"VV","2018-01-02","6:00 - 7:00","1.605","m/s"
"VV","2018-01-02","7:00 - 8:00","1.508","m/s"
"VV","2018-01-02","8:00 - 9:00","1.342","m/s"
"VV","2018-01-02","9:00 - 10:00","0.484","m/s"
"VV","2018-01-02","10:00 - 11:00","0.707","m/s"
"VV","2018-01-02","11:00 - 12:00","0.600","m/s"
"VV","2018-01-02","12:00 - 13:00","0.918","m/s"
"VV","2018-01-02","13:00 - 14:00","1.048","m/s"
"VV","2018-01-02","14:00 - 15:00","1.547","m/s"
"VV","2018-01-02","15:00 - 16:00","1.852","m/s"
"VV","2018-01-02","16:00 - 17:00","2.207","m/s"
"VV","2018-01-02","17:00 - 18:00","1.813","m/s"
"VV","2018-01-02","18:00 - 19:00","1.948","m/s"
"VV","2018-01-02","19:00 - 20:00","1.641","m/s"
"VV","2018-01-02","20:00 - 21:00","1.010","m/s"
"VV","2018-01-02","21:00 - 22:00","0.401","m/s"
"VV","2018-01-02","22:00 - 23:00","0.496","m/s"
"VV","2018-01-03","23:00 - 0:00","0.994","m/s"
"VV","2018-01-03","0:00 - 1:00","0.537","m/s"
"VV","2018-01-03","1:00 - 2:00","0.313","m/s"
"VV","2018-01-03","2:00 - 3:00","0.557","m/s"
"VV","2018-01-03","3:00 - 4:00","0.532","m/s"
"VV","2018-01-03","4:00 - 5:00","1.261","m/s"
"VV","2018-01-03","5:00 - 6:00","1.573","m/s"
"VV","2018-01-03","6:00 - 7:00","2.032","m/s"
"VV","2018-01-03","7:00 - 8:00","2.811","m/s"
"VV","2018-01-03","8:00 - 9:00","2.612","m/s"
"VV","2018-01-03","9:00 - 10:00","3.308","m/s"
"VV","2018-01-03","10:00 - 11:00","4.390","m/s"
"VV","2018-01-03","11:00 - 12:00","3.998","m/s"
"VV","2018-01-03","12:00 - 13:00","3.329","m/s"
"VV","2018-01-03","13:00 - 14:00","3.002","m/s"
"VV","2018-01-03","14:00 - 15:00","2.382","m/s"
"VV","2018-01-03","15:00 - 16:00","1.747","m/s"
"VV","2018-01-03","16:00 - 17:00","1.780","m/s"
"VV","2018-01-03","17:00 - 18:00","1.961","m/s"
"VV","2018-01-03","18:00 - 19:00","1.851","m/s"
"VV","2018-01-03","19:00 - 20:00","2.141","m/s"
"VV","2018-01-03","20:00 - 21:00","2.893","m/s"
"VV","2018-01-03","21:00 - 22:00","2.507","m/s"
"VV","2018-01-03","22:00 - 23:00","1.011","m/s"
"VV","2018-01-04","23:00 - 0:00","2.147","m/s"
"VV","2018-01-04","0:00 - 1:00","2.664","m/s"
"VV","2018-01-04","1:00 - 2:00","2.670","m/s"
"VV","2018-01-04","2:00 - 3:00","2.063","m/s"
"VV","2018-01-04","3:00 - 4:00","2.623","m/s"
"VV","2018-01-04","4:00 - 5:00","2.185","m/s"
"VV","2018-01-04","5:00 - 6:00","2.372","m/s"
"VV","2018-01-04","6:00 - 7:00","1.803","m/s"
"VV","2018-01-04","7:00 - 8:00","2.103","m/s"
"VV","2018-01-04","8:00 - 9:00","2.629","m/s"
"VV","2018-01-04","9:00 - 10:00","3.007","m/s"
"VV","2018-01-04","10:00 - 11:00","2.332","m/s"
"VV","2018-01-04","11:00 - 12:00","2.197","m/s"
"VV","2018-01-04","12:00 - 13:00","1.216","m/s"
"VV","2018-01-04","13:00 - 14:00","0.834","m/s"
"VV","2018-01-04","14:00 - 15:00","1.169","m/s"
"VV","2018-01-04","15:00 - 16:00","1.803","m/s"
