Fecha,Hora,PM25
2018-01-01,23:00 - 0:00,30
2018-01-01,0:00 - 1:00,62
2018-01-01,1:00 - 2:00,45
2018-01-01,2:00 - 3:00,38
2018-01-01,3:00 - 4:00,16
2018-01-01,4:00 - 5:00,32
2018-01-01,5:00 - 6:00,27
2018-01-01,6:00 - 7:00,16
2018-01-01,7:00 - 8:00,14
2018-01-01,8:00 - 9:00,18
2018-01-01,9:00 - 10:00,15
2018-01-01,10:00 - 11:00,14
2018-01-01,11:00 - 12:00,12
2018-01-01,12:00 - 13:00,8
2018-01-01,13:00 - 14:00,13
2018-01-01,14:00 - 15:00,11
2018-01-01,15:00 - 16:00,10
2018-01-01,16:00 - 17:00,17
2018-01-01,17:00 - 18:00,20
2018-01-01,18:00 - 19:00,11
2018-01-01,19:00 - 20:00,18
2018-01-01,20:00 - 21:00,10
2018-01-01,21:00 - 22:00,25
2018-01-01,22:00 - 23:00,20
2018-01-02,23:00 - 0:00,8
2018-01-02,0:00 - 1:00,6
2018-01-02,1:00 - 2:00,7
2018-01-02,2:00 - 3:00,4
2018-01-02,3:00 - 4:00,2
2018-01-02,4:00 - 5:00,4
2018-01-02,5:00 - 6:00,10
2018-01-02,6:00 - 7:00,10
2018-01-02,7:00 - 8:00,12
2018-01-02,8:00 - 9:00,9
2018-01-02,9:00 - 10:00,13
2018-01-02,10:00 - 11:00,19
2018-01-02,11:00 - 12:00,20
2018-01-02,12:00 - 13:00,24
2018-01-02,13:00 - 14:00,24
2018-01-02,14:00 - 15:00,13
2018-01-02,15:00 - 16:00,18
2018-01-02,16:00 - 17:00,21
2018-01-02,17:00 - 18:00,21
2018-01-02,18:00 - 19:00,27
2018-01-02,19:00 - 20:00,20
2018-01-02,20:00 - 21:00,26
2018-01-02,21:00 - 22:00,26
2018-01-02,22:00 - 23:00,27
2018-01-03,23:00 - 0:00,28
2018-01-03,0:00 - 1:00,23
2018-01-03,1:00 - 2:00,16
2018-01-03,2:00 - 3:00,27
2018-01-03,3:00 - 4:00,28
2018-01-03,4:00 - 5:00,32
2018-01-03,5:00 - 6:00,27
2018-01-03,6:00 - 7:00,22
2018-01-03,7:00 - 8:00,11
2018-01-03,8:00 - 9:00,11
2018-01-03,9:00 - 10:00,21
2018-01-03,10:00 - 11:00,15
2018-01-03,11:00 - 12:00,5
2018-01-03,12:00 - 13:00,11
2018-01-03,13:00 - 14:00,16
2018-01-03,14:00 - 15:00,10
2018-01-03,15:00 - 16:00,10
2018-01-03,16:00 - 17:00,7
2018-01-03,17:00 - 18:00,5
2018-01-03,18:00 - 19:00,6
2018-01-03,19:00 - 20:00,12
2018-01-03,20:00 - 21:00,14
2018-01-03,21:00 - 22:00,10
2018-01-03,22:00 - 23:00,9
2018-01-04,23:00 - 0:00,6
2018-01-04,0:00 - 1:00,15
2018-01-04,1:00 - 2:00,16
2018-01-04,2:00 - 3:00,8
2018-01-04,3:00 - 4:00,13
2018-01-04,4:00 - 5:00,10
2018-01-04,5:00 - 6:00,13
2018-01-04,6:00 - 7:00,11
2018-01-04,7:00 - 8:00,16
2018-01-04,8:00 - 9:00,13
2018-01-04,9:00 - 10:00,19
2018-01-04,10:00 - 11:00,33
2018-01-04,11:00 - 12:00,26
2018-01-04,12:00 - 13:00,27
2018-01-04,13:00 - 14:00,25
2018-01-04,14:00 - 15:00,25
2018-01-04,15:00 - 16:00,22
2018-01-04,16:00 - 17:00,18
2018-01-04,17:00 - 18:00,16
2018-01-04,18:00 - 19:00,13
2018-01-04,19:00 - 20:00,15
2018-01-04,20:00 - 21:00,24
2018-01-04,21:00 - 22:00,24
2018-01-04,22:00 - 23:00,28
2018-01-05,23:00 - 0:00,48
2018-01-05,0:00 - 1:00,37
2018-01-05,1:00 - 2:00,26
2018-01-05,2:00 - 3:00,33
2018-01-05,3:00 - 4:00,31
2018-01-05,4:00 - 5:00,35
2018-01-05,5:00 - 6:00,20
2018-01-05,6:00 - 7:00,30
2018-01-05,7:00 - 8:00,30
2018-01-05,8:00 - 9:00,44
2018-01-05,9:00 - 10:00,47
2018-01-05,10:00 - 11:00,37
2018-01-05,11:00 - 12:00,46
2018-01-05,12:00 - 13:00,45
2018-01-05,13:00 - 14:00,29
2018-01-05,14:00 - 15:00,19
2018-01-05,15:00 - 16:00,16
2018-01-05,16:00 - 17:00,3
2018-01-05,17:00 - 18:00,10
2018-01-05,18:00 - 19:00,15
2018-01-05,19:00 - 20:00,10
2018-01-05,20:00 - 21:00,13
2018-01-05,21:00 - 22:00,19
2018-01-05,22:00 - 23:00,21
2018-01-06,23:00 - 0:00,19
2018-01-06,0:00 - 1:00,7
2018-01-06,1:00 - 2:00,13
2018-01-06,2:00 - 3:00,12
2018-01-06,3:00 - 4:00,9
2018-01-06,4:00 - 5:00,7
2018-01-06,5:00 - 6:00,9
2018-01-06,6:00 - 7:00,6
2018-01-06,7:00 - 8:00,4
2018-01-06,8:00 - 9:00,8
2018-01-06,9:00 - 10:00,10
2018-01-06,10:00 - 11:00,13
2018-01-06,11:00 - 12:00,15
2018-01-06,12:00 - 13:00,11
2018-01-06,13:00 - 14:00,17
2018-01-06,14:00 - 15:00,10
2018-01-06,15:00 - 16:00,8
2018-01-06,16:00 - 17:00,7
2018-01-06,17:00 - 18:00,6
2018-01-06,18:00 - 19:00,14
2018-01-06,19:00 - 20:00,9
2018-01-06,20:00 - 21:00,14
2018-01-06,21:00 - 22:00,22
2018-01-06,22:00 - 23:00,26
2018-01-07,23:00 - 0:00,9
2018-01-07,0:00 - 1:00,13
2018-01-07,1:00 - 2:00,12
2018-01-07,2:00 - 3:00,9
2018-01-07,3:00 - 4:00,8
2018-01-07,4:00 - 5:00,6
2018-01-07,5:00 - 6:00,21
2018-01-07,6:00 - 7:00,21
2018-01-07,7:00 - 8:00,19
2018-01-07,8:00 - 9:00,18
2018-01-07,9:00 - 10:00,22
2018-01-07,10:00 - 11:00,21
2018-01-07,11:00 - 12:00,25
2018-01-07,12:00 - 13:00,14
2018-01-07,13:00 - 14:00,14
2018-01-07,14:00 - 15:00,10
2018-01-07,15:00 - 16:00,7
2018-01-07,16:00 - 17:00,6
2018-01-07,17:00 - 18:00,10
2018-01-07,18:00 - 19:00,7
2018-01-07,19:00 - 20:00,10
2018-01-07,20:00 - 21:00,12
2018-01-07,21:00 - 22:00,17
2018-01-07,22:00 - 23:00,17
2018-01-08,23:00 - 0:00,12
2018-01-08,0:00 - 1:00,19
2018-01-08,1:00 - 2:00,17
2018-01-08,2:00 - 3:00,13
2018-01-08,3:00 - 4:00,21
2018-01-08,4:00 - 5:00,19
2018-01-08,5:00 - 6:00,18
2018-01-08,6:00 - 7:00,16
2018-01-08,7:00 - 8:00,17
2018-01-08,8:00 - 9:00,20
2018-01-08,9:00 - 10:00,22
2018-01-08,10:00 - 11:00,13
2018-01-08,11:00 - 12:00,9
2018-01-08,12:00 - 13:00,9
2018-01-08,13:00 - 14:00,8
2018-01-08,14:00 - 15:00,6
2018-01-08,15:00 - 16:00,4
2018-01-08,16:00 - 17:00,4
2018-01-08,17:00 - 18:00,5
2018-01-08,18:00 - 19:00,4
2018-01-08,19:00 - 20:00,12
2018-01-08,20:00 - 21:00,11
2018-01-08,21:00 - 22:00,19
2018-01-08,22:00 - 23:00,14
2018-01-09,23:00 - 0:00,9
2018-01-09,0:00 - 1:00,11
2018-01-09,1:00 - 2:00,16
2018-01-09,2:00 - 3:00,15
