Fecha,Hora,TMP
2018-01-01,23:00 - 0:00,17.386
2018-01-01,0:00 - 1:00,17.462
2018-01-01,1:00 - 2:00,16.715
2018-01-01,2:00 - 3:00,15.998
2018-01-01,3:00 - 4:00,15.723
2018-01-01,4:00 - 5:00,15.017
2018-01-01,5:00 - 6:00,14.163
2018-01-01,6:00 - 7:00,14.098
2018-01-01,7:00 - 8:00,12.555
2018-01-01,8:00 - 9:00,12.04
2018-01-01,9:00 - 10:00,12.197
2018-01-01,10:00 - 11:00,14.211
2018-01-01,11:00 - 12:00,16.207
2018-01-01,12:00 - 13:00,18.454
2018-01-01,13:00 - 14:00,19.945
2018-01-01,14:00 - 15:00,21.563
2018-01-01,15:00 - 16:00,22.705
2018-01-01,16:00 - 17:00,22.867
2018-01-01,17:00 - 18:00,23.232
2018-01-01,18:00 - 19:00,22.185
2018-01-01,19:00 - 20:00,21.14
2018-01-01,20:00 - 21:00,20.115
2018-01-01,21:00 - 22:00,18.758
2018-01-01,22:00 - 23:00,16.703
2018-01-02,23:00 - 0:00,15.446
2018-01-02,0:00 - 1:00,13.658
2018-01-02,1:00 - 2:00,12.958
2018-01-02,2:00 - 3:00,11.788
2018-01-02,3:00 - 4:00,10.867
2018-01-02,4:00 - 5:00,10.066
2018-01-02,5:00 - 6:00,9.695
2018-01-02,6:00 - 7:00,9.36
2018-01-02,7:00 - 8:00,9.202
2018-01-02,8:00 - 9:00,9.141
2018-01-02,9:00 - 10:00,10.441
2018-01-02,10:00 - 11:00,11.984
2018-01-02,11:00 - 12:00,14.769
2018-01-02,12:00 - 13:00,16.411
2018-01-02,13:00 - 14:00,19.004
2018-01-02,14:00 - 15:00,20.771
2018-01-02,15:00 - 16:00,22.178
2018-01-02,16:00 - 17:00,22.689
2018-01-02,17:00 - 18:00,22.306
2018-01-02,18:00 - 19:00,21.714
2018-01-02,19:00 - 20:00,20.959
2018-01-02,20:00 - 21:00,20.119
2018-01-02,21:00 - 22:00,19.041
2018-01-02,22:00 - 23:00,18.885
2018-01-03,23:00 - 0:00,18.039
2018-01-03,0:00 - 1:00,17.706
2018-01-03,1:00 - 2:00,16.677
2018-01-03,2:00 - 3:00,15.745
2018-01-03,3:00 - 4:00,14.514
2018-01-03,4:00 - 5:00,13.683
2018-01-03,5:00 - 6:00,12.673
2018-01-03,6:00 - 7:00,13.13
2018-01-03,7:00 - 8:00,12.605
2018-01-03,8:00 - 9:00,11.895
2018-01-03,9:00 - 10:00,12.283
2018-01-03,10:00 - 11:00,13.224
2018-01-03,11:00 - 12:00,15.34
2018-01-03,12:00 - 13:00,17.404
2018-01-03,13:00 - 14:00,19.502
2018-01-03,14:00 - 15:00,21.353
2018-01-03,15:00 - 16:00,22.231
2018-01-03,16:00 - 17:00,22.786
2018-01-03,17:00 - 18:00,22.555
2018-01-03,18:00 - 19:00,21.893
2018-01-03,19:00 - 20:00,20.795
2018-01-03,20:00 - 21:00,17.996
2018-01-03,21:00 - 22:00,16.529
2018-01-03,22:00 - 23:00,15.782
2018-01-04,23:00 - 0:00,14.46
2018-01-04,0:00 - 1:00,13.067
2018-01-04,1:00 - 2:00,12.438
2018-01-04,2:00 - 3:00,12.032
2018-01-04,3:00 - 4:00,11.115
2018-01-04,4:00 - 5:00,10.159
2018-01-04,5:00 - 6:00,9.259
2018-01-04,6:00 - 7:00,8.872
2018-01-04,7:00 - 8:00,8.301
2018-01-04,8:00 - 9:00,7.543
2018-01-04,9:00 - 10:00,7.795
2018-01-04,10:00 - 11:00,9.602
2018-01-04,11:00 - 12:00,11.586
2018-01-04,12:00 - 13:00,15.05
2018-01-04,13:00 - 14:00,17.912
2018-01-04,14:00 - 15:00,20.145
2018-01-04,15:00 - 16:00,21.826
2018-01-04,16:00 - 17:00,22.169
2018-01-04,17:00 - 18:00,22.789
2018-01-04,18:00 - 19:00,21.954
2018-01-04,19:00 - 20:00,21.273
2018-01-04,20:00 - 21:00,20.42
2018-01-04,21:00 - 22:00,19.26
2018-01-04,22:00 - 23:00,18.728
2018-01-05,23:00 - 0:00,17.403
2018-01-05,0:00 - 1:00,16.583
2018-01-05,1:00 - 2:00,15.866
2018-01-05,2:00 - 3:00,15.095
2018-01-05,3:00 - 4:00,14.171
2018-01-05,4:00 - 5:00,12.275
2018-01-05,5:00 - 6:00,12.505
2018-01-05,6:00 - 7:00,11.871
2018-01-05,7:00 - 8:00,10.376
2018-01-05,8:00 - 9:00,12.05
2018-01-05,9:00 - 10:00,11.428
2018-01-05,10:00 - 11:00,13.363
2018-01-05,11:00 - 12:00,17.283
2018-01-05,12:00 - 13:00,19.68
2018-01-05,13:00 - 14:00,21.105
2018-01-05,14:00 - 15:00,22.604
2018-01-05,15:00 - 16:00,23.161
2018-01-05,16:00 - 17:00,24.226
2018-01-05,17:00 - 18:00,24.246
2018-01-05,18:00 - 19:00,23.201
2018-01-05,19:00 - 20:00,22.321
2018-01-05,20:00 - 21:00,20.962
2018-01-05,21:00 - 22:00,19.649
2018-01-05,22:00 - 23:00,18.09
2018-01-06,23:00 - 0:00,16.941
2018-01-06,0:00 - 1:00,15.385
2018-01-06,1:00 - 2:00,13.87
2018-01-06,2:00 - 3:00,13.554
2018-01-06,3:00 - 4:00,12.821
2018-01-06,4:00 - 5:00,12.201
2018-01-06,5:00 - 6:00,11.577
2018-01-06,6:00 - 7:00,10.614
2018-01-06,7:00 - 8:00,10.12
2018-01-06,8:00 - 9:00,10.17
2018-01-06,9:00 - 10:00,10.634
2018-01-06,10:00 - 11:00,12.637
2018-01-06,11:00 - 12:00,15.44
2018-01-06,12:00 - 13:00,18.429
2018-01-06,13:00 - 14:00,20.509
2018-01-06,14:00 - 15:00,21.77
2018-01-06,15:00 - 16:00,22.581
2018-01-06,16:00 - 17:00,23.209
2018-01-06,17:00 - 18:00,23.09
2018-01-06,18:00 - 19:00,22.495
2018-01-06,19:00 - 20:00,21.537
2018-01-06,20:00 - 21:00,20.119
2018-01-06,21:00 - 22:00,18.281
2018-01-06,22:00 - 23:00,17.343
2018-01-07,23:00 - 0:00,15.77
2018-01-07,0:00 - 1:00,14.237
2018-01-07,1:00 - 2:00,13.139
2018-01-07,2:00 - 3:00,12.157
2018-01-07,3:00 - 4:00,12.181
2018-01-07,4:00 - 5:00,11.029
2018-01-07,5:00 - 6:00,9.037
2018-01-07,6:00 - 7:00,8.28
2018-01-07,7:00 - 8:00,7.949
2018-01-07,8:00 - 9:00,7.125
2018-01-07,9:00 - 10:00,8.868
2018-01-07,10:00 - 11:00,11.829
2018-01-07,11:00 - 12:00,15.039
2018-01-07,12:00 - 13:00,18.396
2018-01-07,13:00 - 14:00,20.404
2018-01-07,14:00 - 15:00,21.952
2018-01-07,15:00 - 16:00,23.39
2018-01-07,16:00 - 17:00,24.368
2018-01-07,17:00 - 18:00,24.073
2018-01-07,18:00 - 19:00,22.982
2018-01-07,19:00 - 20:00,21.442
2018-01-07,20:00 - 21:00,19.958
2018-01-07,21:00 - 22:00,18.415
2018-01-07,22:00 - 23:00,17.649
2018-01-08,23:00 - 0:00,16.975
2018-01-08,0:00 - 1:00,16.216
2018-01-08,1:00 - 2:00,15.201
2018-01-08,2:00 - 3:00,14.377
2018-01-08,3:00 - 4:00,12.225
2018-01-08,4:00 - 5:00,11.3
2018-01-08,5:00 - 6:00,11.765
2018-01-08,6:00 - 7:00,10.363
2018-01-08,7:00 - 8:00,9.713
2018-01-08,8:00 - 9:00,10.83
2018-01-08,9:00 - 10:00,12.651
2018-01-08,10:00 - 11:00,15.176
2018-01-08,11:00 - 12:00,17.854
2018-01-08,12:00 - 13:00,20.959
2018-01-08,13:00 - 14:00,22.557
2018-01-08,14:00 - 15:00,23.476
2018-01-08,15:00 - 16:00,24.361
2018-01-08,16:00 - 17:00,24.883
2018-01-08,17:00 - 18:00,24.703
2018-01-08,18:00 - 19:00,24.005
2018-01-08,19:00 - 20:00,22.929
2018-01-08,20:00 - 21:00,21.23
2018-01-08,21:00 - 22:00,19.136
2018-01-08,22:00 - 23:00,17.452
2018-01-09,23:00 - 0:00,16.406
2018-01-09,0:00 - 1:00,14.979
2018-01-09,1:00 - 2:00,13.751
2018-01-09,2:00 - 3:00,13.572
2018-01-09,3:00 - 4:00,13.204
2018-01-09,4:00 - 5:00,12.281
2018-01-09,5:00 - 6:00,11.086
2018-01-09,6:00 - 7:00,10.869
2018-01-09,7:00 - 8:00,10.003
2018-01-09,8:00 - 9:00,8.82
2018-01-09,9:00 - 10:00,10.501
2018-01-09,10:00 - 11:00,12.713
2018-01-09,11:00 - 12:00,15.613
2018-01-09,12:00 - 13:00,18.115
2018-01-09,13:00 - 14:00,20.443
2018-01-09,14:00 - 15:00,21.987
2018-01-09,15:00 - 16:00,23.234
2018-01-09,16:00 - 17:00,23.723
2018-01-09,17:00 - 18:00,24.409
2018-01-09,18:00 - 19:00,23.338
2018-01-09,19:00 - 20:00,22.42
2018-01-09,20:00 - 21:00,20.641
2018-01-09,21:00 - 22:00,18.674
2018-01-09,22:00 - 23:00,17.182
2018-01-10,23:00 - 0:00,15.379
2018-01-10,0:00 - 1:00,13.526
2018-01-10,1:00 - 2:00,12.18
2018-01-10,2:00 - 3:00,12.011
2018-01-10,3:00 - 4:00,10.939
2018-01-10,4:00 - 5:00,10.031
2018-01-10,5:00 - 6:00,8.441
2018-01-10,6:00 - 7:00,7.488
2018-01-10,7:00 - 8:00,7.419
2018-01-10,8:00 - 9:00,7.692
2018-01-10,9:00 - 10:00,8.271
2018-01-10,10:00 - 11:00,12.257
2018-01-10,11:00 - 12:00,16.001
2018-01-10,12:00 - 13:00,19.204
2018-01-10,13:00 - 14:00,22.068
2018-01-10,14:00 - 15:00,23.699
2018-01-10,15:00 - 16:00,25.102
2018-01-10,16:00 - 17:00,25.304
2018-01-10,17:00 - 18:00,24.916
2018-01-10,18:00 - 19:00,24.072
2018-01-10,19:00 - 20:00,22.829
2018-01-10,20:00 - 21:00,20.845
2018-01-10,21:00 - 22:00,19.751
2018-01-10,22:00 - 23:00,18.843
2018-01-11,23:00 - 0:00,17.956
2018-01-11,0:00 - 1:00,17.232
2018-01-11,1:00 - 2:00,15.387
2018-01-11,2:00 - 3:00,14.248
2018-01-11,3:00 - 4:00,14.059
2018-01-11,4:00 - 5:00,13.736
2018-01-11,5:00 - 6:00,12.32
2018-01-11,6:00 - 7:00,11.477
2018-01-11,7:00 - 8:00,10.38
2018-01-11,8:00 - 9:00,10.498
2018-01-11,9:00 - 10:00,11.582
2018-01-11,10:00 - 11:00,13.37
2018-01-11,11:00 - 12:00,16.157
2018-01-11,12:00 - 13:00,18.556
2018-01-11,13:00 - 14:00,20.884
2018-01-11,14:00 - 15:00,22.32
2018-01-11,15:00 - 16:00,24.098
2018-01-11,16:00 - 17:00,24.975
2018-01-11,17:00 - 18:00,25.898
2018-01-11,18:00 - 19:00,25.016
2018-01-11,19:00 - 20:00,23.9
2018-01-11,20:00 - 21:00,22.149
2018-01-11,21:00 - 22:00,20.025
2018-01-11,22:00 - 23:00,17.41
2018-01-12,23:00 - 0:00,15.451
2018-01-12,0:00 - 1:00,14.676
2018-01-12,1:00 - 2:00,13.388
2018-01-12,2:00 - 3:00,11.741
2018-01-12,3:00 - 4:00,10.374
2018-01-12,4:00 - 5:00,9.185
2018-01-12,5:00 - 6:00,7.893
2018-01-12,6:00 - 7:00,7.458
2018-01-12,7:00 - 8:00,7.26
2018-01-12,8:00 - 9:00,7.246
2018-01-12,9:00 - 10:00,8.331
2018-01-12,10:00 - 11:00,10.779
2018-01-12,11:00 - 12:00,13.177
2018-01-12,12:00 - 13:00,15.318
2018-01-12,13:00 - 14:00,17.064
2018-01-12,14:00 - 15:00,19.062
2018-01-12,15:00 - 16:00,20.924
2018-01-12,16:00 - 17:00,22.295
2018-01-12,17:00 - 18:00,23.111
2018-01-12,18:00 - 19:00,22.143
2018-01-12,19:00 - 20:00,21.454
2018-01-12,20:00 - 21:00,19.978
2018-01-12,21:00 - 22:00,18.071
2018-01-12,22:00 - 23:00,16.141
2018-01-13,23:00 - 0:00,13.255
2018-01-13,0:00 - 1:00,12.02
2018-01-13,1:00 - 2:00,11.432
2018-01-13,2:00 - 3:00,10.464
2018-01-13,3:00 - 4:00,8.59
2018-01-13,4:00 - 5:00,8.319
2018-01-13,5:00 - 6:00,7.797
2018-01-13,6:00 - 7:00,6.892
