Fecha,Hora,VV
2018-01-01,23:00 - 0:00,1.433
2018-01-01,0:00 - 1:00,1.638
2018-01-01,1:00 - 2:00,2.357
2018-01-01,2:00 - 3:00,2.399
2018-01-01,3:00 - 4:00,2.003
2018-01-01,4:00 - 5:00,2.308
2018-01-01,5:00 - 6:00,2.643
2018-01-01,6:00 - 7:00,0.865
2018-01-01,7:00 - 8:00,2.457
2018-01-01,8:00 - 9:00,1.372
2018-01-01,9:00 - 10:00,2.014
2018-01-01,10:00 - 11:00,1.187
2018-01-01,11:00 - 12:00,1.09
2018-01-01,12:00 - 13:00,1.129
2018-01-01,13:00 - 14:00,1.459
2018-01-01,14:00 - 15:00,0.973
2018-01-01,15:00 - 16:00,1.068
2018-01-01,16:00 - 17:00,1.593
2018-01-01,17:00 - 18:00,1.2
2018-01-01,18:00 - 19:00,1.218
2018-01-01,19:00 - 20:00,0.773
2018-01-01,20:00 - 21:00,0.351
2018-01-01,21:00 - 22:00,1.836
2018-01-01,22:00 - 23:00,2.13
2018-01-02,23:00 - 0:00,1.615
2018-01-02,0:00 - 1:00,2.476
2018-01-02,1:00 - 2:00,1.798
2018-01-02,2:00 - 3:00,1.839
2018-01-02,3:00 - 4:00,1.581
2018-01-02,4:00 - 5:00,1.581
2018-01-02,5:00 - 6:00,1.786
2018-01-02,6:00 - 7:00,1.605
2018-01-02,7:00 - 8:00,1.508
2018-01-02,8:00 - 9:00,1.342
2018-01-02,9:00 - 10:00,0.484
2018-01-02,10:00 - 11:00,0.707
2018-01-02,11:00 - 12:00,0.6
2018-01-02,12:00 - 13:00,0.918
2018-01-02,13:00 - 14:00,1.048
2018-01-02,14:00 - 15:00,1.547
2018-01-02,15:00 - 16:00,1.852
2018-01-02,16:00 - 17:00,2.207
2018-01-02,17:00 - 18:00,1.813
2018-01-02,18:00 - 19:00,1.948
2018-01-02,19:00 - 20:00,1.641
2018-01-02,20:00 - 21:00,1.01
2018-01-02,21:00 - 22:00,0.401
2018-01-02,22:00 - 23:00,0.496
2018-01-03,23:00 - 0:00,0.994
2018-01-03,0:00 - 1:00,0.537
2018-01-03,1:00 - 2:00,0.313
2018-01-03,2:00 - 3:00,0.557
2018-01-03,3:00 - 4:00,0.532
2018-01-03,4:00 - 5:00,1.261
2018-01-03,5:00 - 6:00,1.573
2018-01-03,6:00 - 7:00,2.032
2018-01-03,7:00 - 8:00,2.811
2018-01-03,8:00 - 9:00,2.612
2018-01-03,9:00 - 10:00,3.308
2018-01-03,10:00 - 11:00,4.39
2018-01-03,11:00 - 12:00,3.998
2018-01-03,12:00 - 13:00,3.329
2018-01-03,13:00 - 14:00,3.002
2018-01-03,14:00 - 15:00,2.382
2018-01-03,15:00 - 16:00,1.747
2018-01-03,16:00 - 17:00,1.78
2018-01-03,17:00 - 18:00,1.961
2018-01-03,18:00 - 19:00,1.851
2018-01-03,19:00 - 20:00,2.141
2018-01-03,20:00 - 21:00,2.893
2018-01-03,21:00 - 22:00,2.507
2018-01-03,22:00 - 23:00,1.011
2018-01-04,23:00 - 0:00,2.147
2018-01-04,0:00 - 1:00,2.664
2018-01-04,1:00 - 2:00,2.67
2018-01-04,2:00 - 3:00,2.063
2018-01-04,3:00 - 4:00,2.623
2018-01-04,4:00 - 5:00,2.185
2018-01-04,5:00 - 6:00,2.372
2018-01-04,6:00 - 7:00,1.803
2018-01-04,7:00 - 8:00,2.103
2018-01-04,8:00 - 9:00,2.629
2018-01-04,9:00 - 10:00,3.007
2018-01-04,10:00 - 11:00,2.332
2018-01-04,11:00 - 12:00,2.197
2018-01-04,12:00 - 13:00,1.216
2018-01-04,13:00 - 14:00,0.834
2018-01-04,14:00 - 15:00,1.169
2018-01-04,15:00 - 16:00,1.803
2018-01-04,16:00 - 17:00,2.368
2018-01-04,17:00 - 18:00,1.876
2018-01-04,18:00 - 19:00,1.895
2018-01-04,19:00 - 20:00,1.319
2018-01-04,20:00 - 21:00,1.105
2018-01-04,21:00 - 22:00,0.381
2018-01-04,22:00 - 23:00,0.808
2018-01-05,23:00 - 0:00,0.815
2018-01-05,0:00 - 1:00,0.523
2018-01-05,1:00 - 2:00,0.522
2018-01-05,2:00 - 3:00,0.686
2018-01-05,3:00 - 4:00,1.184
2018-01-05,4:00 - 5:00,1.021
2018-01-05,5:00 - 6:00,0.548
2018-01-05,6:00 - 7:00,0.51
2018-01-05,7:00 - 8:00,0.533
2018-01-05,8:00 - 9:00,0.861
2018-01-05,9:00 - 10:00,0.836
2018-01-05,10:00 - 11:00,0.566
2018-01-05,11:00 - 12:00,0.882
2018-01-05,12:00 - 13:00,1.166
2018-01-05,13:00 - 14:00,2.008
2018-01-05,14:00 - 15:00,3.338
2018-01-05,15:00 - 16:00,2.708
2018-01-05,16:00 - 17:00,1.24
2018-01-05,17:00 - 18:00,1.556
2018-01-05,18:00 - 19:00,1.317
2018-01-05,19:00 - 20:00,0.813
2018-01-05,20:00 - 21:00,0.76
2018-01-05,21:00 - 22:00,1.432
2018-01-05,22:00 - 23:00,1.843
2018-01-06,23:00 - 0:00,1.556
2018-01-06,0:00 - 1:00,2.282
2018-01-06,1:00 - 2:00,2.389
2018-01-06,2:00 - 3:00,2.508
2018-01-06,3:00 - 4:00,2.982
2018-01-06,4:00 - 5:00,3.011
2018-01-06,5:00 - 6:00,3.062
2018-01-06,6:00 - 7:00,2.603
2018-01-06,7:00 - 8:00,2.765
2018-01-06,8:00 - 9:00,2.522
2018-01-06,9:00 - 10:00,3.781
2018-01-06,10:00 - 11:00,3.745
2018-01-06,11:00 - 12:00,3.001
2018-01-06,12:00 - 13:00,1.967
2018-01-06,13:00 - 14:00,1.879
2018-01-06,14:00 - 15:00,2.176
2018-01-06,15:00 - 16:00,2.072
2018-01-06,16:00 - 17:00,2.065
2018-01-06,17:00 - 18:00,2.012
2018-01-06,18:00 - 19:00,2.068
2018-01-06,19:00 - 20:00,1.526
2018-01-06,20:00 - 21:00,1.504
2018-01-06,21:00 - 22:00,1.5
2018-01-06,22:00 - 23:00,1.178
2018-01-07,23:00 - 0:00,1.335
2018-01-07,0:00 - 1:00,1.995
2018-01-07,1:00 - 2:00,1.47
2018-01-07,2:00 - 3:00,1.35
2018-01-07,3:00 - 4:00,0.788
2018-01-07,4:00 - 5:00,0.577
2018-01-07,5:00 - 6:00,1.024
2018-01-07,6:00 - 7:00,0.802
2018-01-07,7:00 - 8:00,0.595
2018-01-07,8:00 - 9:00,1.005
2018-01-07,9:00 - 10:00,0.885
2018-01-07,10:00 - 11:00,0.663
2018-01-07,11:00 - 12:00,0.809
2018-01-07,12:00 - 13:00,1.161
2018-01-07,13:00 - 14:00,1.7
2018-01-07,14:00 - 15:00,2.155
2018-01-07,15:00 - 16:00,1.394
2018-01-07,16:00 - 17:00,1.616
2018-01-07,17:00 - 18:00,2.639
2018-01-07,18:00 - 19:00,2.475
2018-01-07,19:00 - 20:00,1.492
2018-01-07,20:00 - 21:00,0.851
2018-01-07,21:00 - 22:00,1.08
2018-01-07,22:00 - 23:00,0.846
2018-01-08,23:00 - 0:00,0.417
2018-01-08,0:00 - 1:00,0.953
2018-01-08,1:00 - 2:00,1.067
2018-01-08,2:00 - 3:00,0.811
2018-01-08,3:00 - 4:00,0.943
2018-01-08,4:00 - 5:00,1.48
2018-01-08,5:00 - 6:00,1.143
2018-01-08,6:00 - 7:00,0.967
2018-01-08,7:00 - 8:00,0.403
2018-01-08,8:00 - 9:00,0.942
2018-01-08,9:00 - 10:00,1.897
2018-01-08,10:00 - 11:00,2.685
2018-01-08,11:00 - 12:00,3.175
2018-01-08,12:00 - 13:00,2.627
2018-01-08,13:00 - 14:00,2.72
2018-01-08,14:00 - 15:00,2.651
2018-01-08,15:00 - 16:00,1.953
2018-01-08,16:00 - 17:00,1.946
2018-01-08,17:00 - 18:00,2.101
2018-01-08,18:00 - 19:00,2.342
2018-01-08,19:00 - 20:00,1.39
2018-01-08,20:00 - 21:00,1.968
2018-01-08,21:00 - 22:00,2.632
2018-01-08,22:00 - 23:00,2.309
2018-01-09,23:00 - 0:00,1.04
2018-01-09,0:00 - 1:00,1.579
2018-01-09,1:00 - 2:00,2.19
2018-01-09,2:00 - 3:00,1.957
2018-01-09,3:00 - 4:00,1.839
2018-01-09,4:00 - 5:00,2.771
2018-01-09,5:00 - 6:00,3.117
2018-01-09,6:00 - 7:00,2.011
2018-01-09,7:00 - 8:00,0.943
2018-01-09,8:00 - 9:00,0.66
2018-01-09,9:00 - 10:00,0.877
2018-01-09,10:00 - 11:00,2.172
2018-01-09,11:00 - 12:00,1.331
2018-01-09,12:00 - 13:00,0.786
2018-01-09,13:00 - 14:00,0.917
2018-01-09,14:00 - 15:00,1.05
2018-01-09,15:00 - 16:00,1.058
2018-01-09,16:00 - 17:00,1.258
2018-01-09,17:00 - 18:00,0.883
2018-01-09,18:00 - 19:00,0.768
2018-01-09,19:00 - 20:00,0.567
2018-01-09,20:00 - 21:00,0.497
2018-01-09,21:00 - 22:00,0.361
2018-01-09,22:00 - 23:00,0.454
2018-01-10,23:00 - 0:00,0.261
2018-01-10,0:00 - 1:00,0.589
2018-01-10,1:00 - 2:00,0.611
2018-01-10,2:00 - 3:00,0.426
2018-01-10,3:00 - 4:00,0.708
2018-01-10,4:00 - 5:00,0.678
2018-01-10,5:00 - 6:00,0.798
2018-01-10,6:00 - 7:00,0.698
2018-01-10,7:00 - 8:00,0.483
2018-01-10,8:00 - 9:00,0.637
2018-01-10,9:00 - 10:00,0.752
2018-01-10,10:00 - 11:00,0.703
2018-01-10,11:00 - 12:00,1.145
2018-01-10,12:00 - 13:00,1.858
2018-01-10,13:00 - 14:00,1.649
2018-01-10,14:00 - 15:00,2.038
2018-01-10,15:00 - 16:00,1.916
2018-01-10,16:00 - 17:00,4.003
2018-01-10,17:00 - 18:00,4.026
2018-01-10,18:00 - 19:00,2.486
2018-01-10,19:00 - 20:00,1.921
2018-01-10,20:00 - 21:00,2.104
2018-01-10,21:00 - 22:00,2.007
2018-01-10,22:00 - 23:00,1.204
