WeekD,Hora,DV,HR,PM25,PP,TMP,VV,YearD,PM25_t
0,0,99,39,62,0.0,17.462,1.638,1,30.0
0,1,209,42,45,0.0,16.715,2.357,1,62.0
0,2,94,45,38,0.0,15.998,2.399,1,45.0
0,3,68,46,16,0.0,15.723,2.003,1,38.0
0,4,141,50,32,0.0,15.017,2.308,1,16.0
0,5,147,50,27,0.0,14.163,2.643,1,32.0
0,6,139,49,16,0.0,14.098,0.865,1,27.0
0,7,105,65,14,0.0,12.555,2.457,1,16.0
0,8,166,67,18,0.0,12.04,1.372,1,14.0
0,9,203,64,15,0.0,12.197,2.014,1,18.0
0,10,238,56,14,0.0,14.211,1.187,1,15.0
0,11,261,49,12,0.0,16.207,1.09,1,14.0
0,12,187,40,8,0.0,18.454,1.129,1,12.0
0,13,237,35,13,0.0,19.945,1.459,1,8.0
0,14,242,31,11,0.0,21.563,0.973,1,13.0
0,15,215,28,10,0.0,22.705,1.068,1,11.0
0,16,214,27,17,0.0,22.867,1.593,1,10.0
0,17,213,26,20,0.0,23.232,1.2,1,17.0
0,18,228,28,11,0.0,22.185,1.218,1,20.0
0,19,242,31,18,0.0,21.14,0.773,1,11.0
0,20,242,33,10,0.0,20.115,0.351,1,18.0
0,21,122,39,25,0.0,18.758,1.836,1,10.0
0,22,119,49,20,0.0,16.703,2.13,1,25.0
1,23,190,54,8,0.0,15.446,1.615,2,20.0
1,0,82,62,6,0.0,13.658,2.476,2,8.0
1,1,121,64,7,0.0,12.958,1.798,2,6.0
1,2,118,69,4,0.0,11.788,1.839,2,7.0
1,3,209,72,2,0.0,10.867,1.581,2,4.0
1,4,228,76,4,0.0,10.066,1.581,2,2.0
1,5,95,78,10,0.0,9.695,1.786,2,4.0
1,6,140,78,10,0.0,9.36,1.605,2,10.0
1,7,59,79,12,0.0,9.202,1.508,2,10.0
1,8,70,79,9,0.0,9.141,1.342,2,12.0
1,9,164,72,13,0.0,10.441,0.484,2,9.0
1,10,248,66,19,0.0,11.984,0.707,2,13.0
1,11,152,56,20,0.0,14.769,0.6,2,19.0
1,12,214,51,24,0.0,16.411,0.918,2,20.0
1,13,210,44,24,0.0,19.004,1.048,2,24.0
1,14,181,39,13,0.0,20.771,1.547,2,24.0
1,15,187,34,18,0.0,22.178,1.852,2,13.0
1,16,198,31,21,0.0,22.689,2.207,2,18.0
1,17,209,32,21,0.0,22.306,1.813,2,21.0
1,18,200,33,27,0.0,21.714,1.948,2,21.0
1,19,179,35,20,0.0,20.959,1.641,2,27.0
1,20,191,37,26,0.0,20.119,1.01,2,20.0
1,21,235,40,26,0.0,19.041,0.401,2,26.0
1,22,227,40,27,0.0,18.885,0.496,2,26.0
2,23,263,42,28,0.0,18.039,0.994,3,27.0
2,0,196,43,23,0.0,17.706,0.537,3,28.0
2,1,128,47,16,0.0,16.677,0.313,3,23.0
2,2,119,51,27,0.0,15.745,0.557,3,16.0
2,3,97,54,28,0.0,14.514,0.532,3,27.0
2,4,108,56,32,0.0,13.683,1.261,3,28.0
2,5,216,57,27,0.0,12.673,1.573,3,32.0
2,6,82,51,22,0.0,13.13,2.032,3,27.0
2,7,113,53,11,0.0,12.605,2.811,3,22.0
2,8,128,55,11,0.0,11.895,2.612,3,11.0
2,9,114,55,21,0.0,12.283,3.308,3,11.0
2,10,68,54,15,0.0,13.224,4.39,3,21.0
2,11,151,49,5,0.0,15.34,3.998,3,15.0
2,12,143,44,11,0.0,17.404,3.329,3,5.0
2,13,122,38,16,0.0,19.502,3.002,3,11.0
2,14,190,29,10,0.0,21.353,2.382,3,16.0
2,15,168,25,10,0.0,22.231,1.747,3,10.0
2,16,158,22,7,0.0,22.786,1.78,3,10.0
2,17,204,26,5,0.0,22.555,1.961,3,7.0
2,18,201,27,6,0.0,21.893,1.851,3,5.0
2,19,60,30,12,0.0,20.795,2.141,3,6.0
2,20,83,36,14,0.0,17.996,2.893,3,12.0
2,21,87,40,10,0.0,16.529,2.507,3,14.0
2,22,127,42,9,0.0,15.782,1.011,3,10.0
3,23,237,48,6,0.0,14.46,2.147,4,9.0
3,0,107,56,15,0.0,13.067,2.664,4,6.0
3,1,136,61,16,0.0,12.438,2.67,4,15.0
3,2,69,63,8,0.0,12.032,2.063,4,16.0
3,3,63,65,13,0.0,11.115,2.623,4,8.0
3,4,52,68,10,0.0,10.159,2.185,4,13.0
3,5,54,73,13,0.0,9.259,2.372,4,10.0
3,6,58,75,11,0.0,8.872,1.803,4,13.0
3,7,92,77,16,0.0,8.301,2.103,4,11.0
3,8,66,80,13,0.0,7.543,2.629,4,16.0
3,9,86,78,19,0.0,7.795,3.007,4,13.0
3,10,133,72,33,0.0,9.602,2.332,4,19.0
3,11,149,64,26,0.0,11.586,2.197,4,33.0
3,12,159,52,27,0.0,15.05,1.216,4,26.0
3,13,211,42,25,0.0,17.912,0.834,4,27.0
3,14,197,37,25,0.0,20.145,1.169,4,25.0
3,15,191,34,22,0.0,21.826,1.803,4,25.0
3,16,183,33,18,0.0,22.169,2.368,4,22.0
3,17,206,32,16,0.0,22.789,1.876,4,18.0
3,18,184,33,13,0.0,21.954,1.895,4,16.0
3,19,187,34,15,0.0,21.273,1.319,4,13.0
3,20,172,37,24,0.0,20.42,1.105,4,15.0
3,21,231,39,24,0.0,19.26,0.381,4,24.0
3,22,124,41,28,0.0,18.728,0.808,4,24.0
4,23,138,43,48,0.0,17.403,0.815,5,28.0
4,0,106,45,37,0.0,16.583,0.523,5,48.0
4,1,96,49,26,0.0,15.866,0.522,5,37.0
4,2,142,51,33,0.0,15.095,0.686,5,26.0
